item_id,kind,title,description,applies_to,jurisdiction,evidence_span_ids,conditions_required,conditions_excluded,status,version,blockers,details
SIZE-P32,comparison,P32 illustrative comparison,Your baby now has roughly the overall bulk of a honeydew melon.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 32, ""end"": 32}","[""IN""]",[],[],[],draft,1.0.0,"[""Named clinical, India-localisation and licence review pending; product direction recorded 2026-09-11.""]","{""profile_id"": ""P32"", ""measurement_basis"": ""Approximate bulk; round-object mapping pending verification"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""honeydew"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a honeydew melon."", ""hide_reason"": ""Product direction approved; measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 1.6–1.9 kg; mapping must be independently verified"", ""proposal_source"": ""Kajal product review 2026-09-11; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""product_approved_2026-09-11"", ""artwork_status"": ""deferred_pending_verification""}"
SIZE-P33,comparison,P33 illustrative comparison,Your baby now has roughly the overall bulk of a small watermelon.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 33, ""end"": 33}","[""IN""]",[],[],[],draft,1.0.0,"[""Named clinical, India-localisation and licence review pending; product direction recorded 2026-09-11.""]","{""profile_id"": ""P33"", ""measurement_basis"": ""Approximate bulk; round-object mapping pending verification"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""small-watermelon"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a small watermelon."", ""hide_reason"": ""Product direction approved; measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 1.8–2.1 kg; mapping must be independently verified"", ""proposal_source"": ""Kajal product review 2026-09-11; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""product_approved_2026-09-11"", ""artwork_status"": ""deferred_pending_verification""}"
SIZE-P34,comparison,P34 illustrative comparison,Your baby now has roughly the overall bulk of a muskmelon (kharbuja).,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 34, ""end"": 34}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P34"", ""measurement_basis"": ""Approximate bulk"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""muskmelon"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a muskmelon (kharbuja)."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 2.0–2.3 kg"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P35,comparison,P35 illustrative comparison,Your baby now has roughly the overall bulk of a large honeydew melon.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 35, ""end"": 35}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P35"", ""measurement_basis"": ""Approximate bulk"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""honeydew"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a large honeydew melon."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 2.2–2.5 kg"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P36,comparison,P36 illustrative comparison,Your baby now has roughly the overall bulk of a large muskmelon.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 36, ""end"": 36}","[""IN""]",[],[],[],draft,1.0.0,"[""Named clinical, India-localisation and licence review pending; product direction recorded 2026-09-11.""]","{""profile_id"": ""P36"", ""measurement_basis"": ""Approximate bulk; round-object mapping pending verification"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""large-muskmelon"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a large muskmelon."", ""hide_reason"": ""Product direction approved; measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 2.4–2.8 kg; mapping must be independently verified"", ""proposal_source"": ""Kajal product review 2026-09-11; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""product_approved_2026-09-11"", ""artwork_status"": ""deferred_pending_verification""}"
SIZE-P37,comparison,P37 illustrative comparison,Your baby now has roughly the overall bulk of a small pumpkin.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 37, ""end"": 37}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P37"", ""measurement_basis"": ""Approximate bulk"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""small-pumpkin"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a small pumpkin."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 2.6–3.0 kg"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P38,comparison,P38 illustrative comparison,Your baby now has roughly the overall bulk of a medium pumpkin.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 38, ""end"": 38}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P38"", ""measurement_basis"": ""Approximate bulk"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""medium-pumpkin"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a medium pumpkin."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 2.8–3.2 kg"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P39,comparison,P39 illustrative comparison,Your baby now has roughly the overall bulk of a small watermelon.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 39, ""end"": 39}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P39"", ""measurement_basis"": ""Approximate bulk"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""small-watermelon"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a small watermelon."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 3.0–3.4 kg"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P40,comparison,P40 illustrative comparison,Your baby now has roughly the overall bulk of a full-size watermelon.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 40, ""end"": 40}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P40"", ""measurement_basis"": ""Approximate bulk"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""watermelon"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a full-size watermelon."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 3.1–3.6 kg; healthy term size varies widely"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P41,comparison,P41 illustrative comparison,"Still growing at their own pace, your baby is around the bulk of a large watermelon.","{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 41, ""end"": 41}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P41"", ""measurement_basis"": ""Approximate bulk; review required"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""large-watermelon"", ""image_path"": null, ""image_alt"": ""Still growing at their own pace, your baby is around the bulk of a large watermelon."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Do not imply that every baby continues to gain at the same rate"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P42,comparison,P42 illustrative comparison,Do not show a generic size card. Show the reviewed local “contact your maternity professional” message first.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 42, ""end"": 42}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P42"", ""measurement_basis"": ""Safety/product exception"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""care-team-first"", ""image_path"": null, ""image_alt"": ""Do not show a generic size card. Show the reviewed local “contact your maternity professional” message first."", ""hide_reason"": ""Intentional non-size state"", ""proposed_planning_basis"": ""Representable state; unpublished by architecture decision"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
